period_id,next_period_id,duration,pavg_turnover_rate,pavg_core_exp,pavg_rel_exp,pavg_n_party,pavg_arist_sup,pavg_agrar_sup,pavg_party_sup,pavg_busin_sup,pavg_beaur_sup,pavg_milit_sup,pavg_ethni_sup,pavg_relig_sup,pavg_local_sup,pavg_ubour_sup,pavg_rbour_sup,pavg_uprol_sup,pavg_rprol_sup,pavg_forei_sup,pavg_arist_opp,pavg_agrar_opp,pavg_party_opp,pavg_busin_opp,pavg_beaur_opp,pavg_milit_opp,pavg_ethni_opp,pavg_relig_opp,pavg_local_opp,pavg_ubour_opp,pavg_rbour_opp,pavg_uprol_opp,pavg_rprol_opp,pavg_forei_opp,pavg_sup_size,pavg_opp_size,pavg_dem_mob,pavg_aut_mob,pavg_pwr_ses,pavg_pwr_soc,pavg_legcon,pavg_jucon,pavg_repress,pfy_gini_disp,pfy_gini_mkt,pfy_gdp_percap,p_communist,p_elecaut
ALB: 1966-1991,ALB: 1992-1995,78,0.2045597118739534,5.431495310674877,-2.9531200739405077,1.0769230769230769,0.25,0,0.7596153846153846,0.038461538461538464,1,0.7211538461538461,0.23076923076923078,0,0.019230769230769232,0.25,0.25,0.4807692307692308,0.25,0,0.25,0.23076923076923078,0.057692307692307696,0.2692307692307692,0.2692307692307692,0.23076923076923078,0.23076923076923078,0,0.25,0.28846153846153844,0.2692307692307692,0.019230769230769232,0,0.23076923076923078,0.9997692307692307,-1.5356153846153846,-1.3138076923076922,0.5059615384615385,1.393,0.439,0.09984615384615385,0.3391153846153846,-2.584576923076923,40.429320229377794,46.87117534638487,3271,TRUE,FALSE
ALB: 1996-1996,ALB: 1997-2020,1,0.0625,3.6875,-1.3125,2,0.25,0,1,0.5,1,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.5,0.5,0.25,0,0,0,0.25,0.25,0,0,0,0,1.522,-0.699,0.719,-0.58,0.907,1.166,0.884,0.631,0.587,37.17302974700928,46.35137397766113,4294,FALSE,TRUE
ARG: 1966-1973,ARG: 1974-1975,8,0.6565508766595723,1.6453211643429024,-0.7296788356570976,NA,0.22925,0.754625,0.136375,0.767125,0.062625,0.834375,0,0.167,0.14650000000000002,0.025125,0.374,0.0125,0,0,0.0755,0.090625,0.059875000000000005,0.05,0,0.140625,0,0,0,0.70525,0.225,0,0,0,0.03575000000000001,2.1,0.68425,0.095,-0.9535,1.101875,NA,0.556125,-0.93525,35.578942947387695,39.244494895935055,13986,FALSE,FALSE
ARG: 1976-1983,ARG: 1984-2020,8,0.5241815476190474,1.8887648809523814,-0.48623511904761874,0.25,0.32825000000000004,0.7195,0.17175,0.90225,0.17175,0.8235,0,0.16212500000000002,0.167,0.014375,0.17650000000000002,0.00475,0,0,0,0.025,0.19425,0.01925,0,0.05,0,0,0,0.6577500000000001,0.5135,0.09425,0.01925,0.01925,-0.341625,1.771875,1.27775,0.395,-1.354125,1.092,NA,0.385875,-2.4595000000000002,39.13068206787109,43.147963981628415,12976,FALSE,FALSE
ARM: 1992-2017,ARM: 2018-2020,27,0.345681809193955,3.7538123913123904,-1.2846491471491481,2.3461538461538463,0.143,0,0.714076923076923,0.9010769230769231,0.8075,0.824,0,0,0.21449999999999997,0.04680769230769231,0.2941153846153846,0.0908076923076923,0.0688076923076923,0.11549999999999999,0,0,0.05769230769230769,0.011,0.032999999999999995,0.187,0,0,0.027499999999999997,0.3794230769230769,0.6454230769230769,0.3849230769230769,0.3794230769230769,0.011,-0.264,1.1131538461538462,0.45492307692307693,-0.4620769230769231,-0.11476923076923075,2.2033846153846155,0.3213846153846154,0.24315384615384614,0.7083076923076923,36.90063083648682,48.029030113220216,10804,FALSE,FALSE
BDI: 1966-2005,BDI: 2006-2014,44,0.3638664063586392,2.9383527622741195,-1.3366472377258805,2.9,0.01265,0.04035,0.415325,0.0206,0,0.85915,0.14687499999999998,0,0.006325,0.014249999999999999,0.05255,0.018699999999999998,0,0,0.0223,0.01275,0.06572499999999999,0.067875,0.037575000000000004,0.468275,0.670825,0.040075,0.0301,0.0576,0.047725,0.20215,0.02505,0.01015,-0.094575,0.914125,-1.154625,1.50785,1.353675,-1.18545,0.2696,0.5785,-1.186675,37.07261289596558,39.00039306640625,671,FALSE,FALSE
BEN: 1966-1990,BEN: 1991-2018,31,0.4339329004329004,3.7302827172827175,-3.469717282717282,0.6,0,0.00432,0.64612,0.13064,0.41184,0.59516,0.00432,0.16988,0.08395999999999999,0.00864,0.04904,0.04904,0.044719999999999996,0.10628,0,0.09336,0.00492,0.24128,0.18563999999999997,0.27896,0.2314,0.09336,0.32372,0.6771199999999999,0.37335999999999997,0.16171999999999997,0.13807999999999998,0.2314,1.40492,1.31272,0.49684,1.50972,0.40043999999999996,0.47903999999999997,NA,0.37732,-0.7826000000000001,42.658538105176035,45.57303746484168,1481,TRUE,FALSE
BFA: 1966-2015,BFA: 2016-2020,56,0.33305178289292225,3.6076496572331096,-5.232350342766891,0.78,0.15766,0.0031999999999999997,0.4734,0.44114,0.30078,0.81338,0.06863999999999999,0.03374,0.38416,0.15438,0.20858,0.20673999999999998,0.04768,0.06867999999999999,0.11868000000000001,0.08228,0.31914000000000003,0.21868,0.516,0.5288,0.08228,0.08274000000000001,0.22628,0.87074,0.30504000000000003,0.14,0.18000000000000002,0.04164,-0.03187999999999999,-0.47814,1.2952000000000001,0.72912,0.87842,1.63764,0.36963999999999997,0.55818,1.26618,42.05265553282871,46.901125031636994,1450,FALSE,TRUE
BGD: 1972-1990,BGD: 1991-2006,20,0.4252033292849618,2.4215516158563486,-1.3152904894068094,1.5263157894736843,0.026894736842105263,0.29247368421052633,0.6048947368421053,0.43794736842105264,0.6016842105263158,0.7517368421052631,0.059,0.4584736842105263,0.30110526315789476,0.20226315789473684,0.23873684210526316,0.2443684210526316,0.27031578947368423,0.14105263157894737,0,0.053000000000000005,0.3967894736842105,0.033947368421052636,0.021631578947368422,0.2168421052631579,0.08457894736842106,0.2075263157894737,0.24342105263157895,0.2802631578947369,0.42236842105263156,0.1512105263157895,0.11710526315789474,0.10636842105263158,0.13831578947368423,1.2058421052631578,-0.5128421052631579,0.721,-0.911,1.729,0.16678947368421052,0.5425263157894737,-0.4128421052631579,31.909088954925537,35.703236198425294,1309,FALSE,FALSE
BGD: 2007-2008,BGD: 2009-2013,2,0.7780748663101605,1.90909090909091,0.40909090909090995,0,0.0895,0.0925,0.42000000000000004,0.32299999999999995,0.3655,0.721,0,0.097,0.232,0.138,0.2335,0.138,0.1425,0.091,0.0955,0.0955,0.47750000000000004,0.1895,0.0035,0.2375,0.0035,0.0955,0.1895,0.191,0.2865,0.0955,0.1895,0.0015,-0.7090000000000001,1.084,-0.9904999999999999,-0.704,-1.616,1.64,0.371,0.444,-0.127,34.618908138275145,37.62319904327393,2410,FALSE,FALSE
BGR: 1966-1989,BGR: 1990-2020,111,0.16799475285740295,6.85306729953551,-5.64693270046449,2.0833333333333335,0,0.026041666666666668,0.75,0.15104166666666666,0.75,0.375,0,0,0.125,0.6197916666666666,0.026041666666666668,0.4010416666666667,0.026041666666666668,0.5052083333333334,0.143,0,0.14895833333333333,0,0,0,0.05362499999999999,0.143,0,0,0.143,0,0,0.143,1.6504166666666666,-2.64525,-2.691666666666667,2.13375,2.618,0.267,0.073,0.219,-1.3896666666666666,28.52650093078613,40.716395988464356,10802,TRUE,FALSE
BOL: 1966-1978,BOL: 1979-1979,154,0.6170940170940171,1.8299145299145292,-1.0162393162393168,0.8461538461538461,0.25653846153846155,0.4481538461538461,0.295,0.4481538461538461,0.295,0.9615384615384616,0,0,0,0.038461538461538464,0.09923076923076923,0.038461538461538464,0,0.25653846153846155,0,0,0.2726153846153846,0,0,0.038461538461538464,0.5453846153846154,0.2726153846153846,0.2726153846153846,0.9615384615384616,1,0.9615384615384616,0.2726153846153846,0,-0.33461538461538465,-0.7308461538461538,0.3850769230769231,-0.11261538461538463,0.5506923076923077,-0.238,NA,0.06999999999999999,-0.5606923076923077,43.85942951357275,45.015144794230814,4566,FALSE,FALSE
