accident_year,accident_severity,number_of_vehicles,number_of_casualties,day_of_week,road_type,speed_limit,light_conditions,weather_conditions,road_surface_conditions,urban_or_rural_area,daytime,month,season,IMD_Decile,IncScore,EmpScore,HDDScore,EduScore,CriScore,EnvScore,is_grave_accident
2018,2,2,1,2,6,30,4,1,1,1,night (23-7),1,Winter,3,0.218,0.131,-0.344,7.115,0.755,42.846,Yes
2017,1,1,1,3,6,30,1,1,1,1,afternoon rush (16-19),4,Spring,3,0.218,0.131,-0.344,7.115,0.755,42.846,No
2018,2,2,1,2,6,30,1,1,1,1,office hours (10-16),1,Winter,4,0.125,0.067,-0.562,15.067,-0.211,40.163,Yes
2018,1,2,1,1,2,20,1,2,2,1,office hours (10-16),2,Winter,4,0.125,0.067,-0.562,15.067,-0.211,40.163,No
2018,1,2,1,4,6,30,4,1,1,1,evening (19-23),6,Summer,4,0.125,0.067,-0.562,15.067,-0.211,40.163,No
2019,1,2,1,5,1,20,4,1,1,1,evening (19-23),3,Spring,4,0.125,0.067,-0.562,15.067,-0.211,40.163,No
2019,1,4,1,3,6,30,1,1,1,1,evening (19-23),7,Summer,4,0.125,0.067,-0.562,15.067,-0.211,40.163,No
2019,1,2,1,6,1,20,1,1,1,1,morning rush (7-10),11,Autumn,4,0.125,0.067,-0.562,15.067,-0.211,40.163,No
2017,1,2,1,5,2,30,4,1,1,1,morning rush (7-10),1,Winter,4,0.125,0.067,-0.562,15.067,-0.211,40.163,No
2017,2,2,1,6,3,40,1,1,1,1,office hours (10-16),11,Autumn,4,0.125,0.067,-0.562,15.067,-0.211,40.163,Yes
2018,1,2,1,3,6,30,4,1,2,1,afternoon rush (16-19),1,Winter,1,0.296,0.195,0.676,41.633,1.799,42.882,No
2018,1,2,1,3,6,30,1,1,1,1,office hours (10-16),2,Winter,1,0.296,0.195,0.676,41.633,1.799,42.882,No
2018,1,2,1,4,6,30,4,1,2,1,evening (19-23),5,Spring,1,0.296,0.195,0.676,41.633,1.799,42.882,No
